2021-08-06 18:31:18.7569 | Nix_Hotel.API.Controllers.RoomController.Get | INFO | |ROOM| Selecting room with id = 4 

2021-08-06 18:31:25.5191 | Nix_Hotel.API.Controllers.RoomController.Get | INFO | |ROOM| Room with = 4 not found 

2021-08-06 18:31:33.4489 | Nix_Hotel.API.Controllers.RoomController.Get | INFO | |ROOM| Selecting room with id = 3 

2021-08-06 18:31:33.5469 | Nix_Hotel.API.Controllers.RoomController.Get | INFO | |ROOM| Room with id = 3 was succesfully selected from DB 

2021-08-06 18:31:40.0153 | Nix_Hotel.API.Controllers.RoomController.Get | INFO | |ROOM| Selecting the list of all rooms 

2021-08-06 18:31:40.0273 | Nix_Hotel.API.Controllers.RoomController.Get | INFO | |ROOM| List of all rooms was succesfully selected from DB 

2021-08-06 18:32:41.0311 | Nix_Hotel.API.Controllers.BookingController.Post | INFO | |BOOKING| Trying to create new booking 

2021-08-06 18:32:41.0531 | Nix_Hotel.API.Controllers.BookingController.Post | INFO | |BOOKING| New booking was succesfully createed 

2021-08-06 18:33:06.7806 | Nix_Hotel.API.Controllers.BookingController.Put | INFO | |BOOKING| Selecting booking with id = 1 for editing 

2021-08-06 18:33:06.7946 | Nix_Hotel.API.Controllers.BookingController.Put | INFO | |BOOKING| Editing booking with id = 1 

2021-08-06 18:33:06.8146 | Nix_Hotel.API.Controllers.BookingController.Put | INFO | |BOOKING| Booking with id = 1 edited succesfully 

2021-08-06 19:35:23.9126 | Nix_Hotel.API.Controllers.RoomController.Get | INFO | |ROOM| Trying to find free rooms 

2021-08-06 19:35:23.9845 | Nix_Hotel.API.Controllers.RoomController.Get | INFO | |ROOM| Incorrect dates format 

2021-08-06 19:35:38.1722 | Nix_Hotel.API.Controllers.RoomController.Get | INFO | |ROOM| Trying to find free rooms 

2021-08-06 19:35:38.1922 | Nix_Hotel.API.Controllers.RoomController.Get | INFO | |ROOM| Incorrect dates format 

2021-08-06 19:36:06.5181 | Nix_Hotel.API.Controllers.RoomController.Get | INFO | |ROOM| Trying to find free rooms 

2021-08-06 19:36:06.5451 | Nix_Hotel.API.Controllers.RoomController.Get | INFO | |ROOM| Incorrect dates format 

2021-08-06 19:36:24.9003 | Nix_Hotel.API.Controllers.RoomController.Get | INFO | |ROOM| Trying to find free rooms 

2021-08-06 19:36:29.1007 | Nix_Hotel.API.Controllers.RoomController.Get | INFO | |ROOM| Free rooms found 

2021-08-06 19:36:56.9392 | Nix_Hotel.API.Controllers.RoomController.Get | INFO | |ROOM| Trying to find free rooms 

2021-08-06 19:37:03.5710 | Nix_Hotel.API.Controllers.RoomController.Get | INFO | |ROOM| Free rooms found 

2021-08-06 19:37:19.9829 | Nix_Hotel.API.Controllers.RoomController.Get | INFO | |ROOM| Selecting the list of all rooms 

2021-08-06 19:37:19.9829 | Nix_Hotel.API.Controllers.RoomController.Get | INFO | |ROOM| List of all rooms was succesfully selected from DB 

