2021-08-06 06:07:30.9844 | Nix_Hotel.WEB.Controllers.AdminController.Login | INFO | |LOGIN| Trying to Log In as administrator with name HotelAdmin  

2021-08-06 06:07:33.3091 | Nix_Hotel.WEB.Controllers.AdminController.Login | INFO | |LOGIN| Logged in succesfulle as HotelAdmin  

2021-08-06 06:07:36.2239 | Nix_Hotel.WEB.Controllers.ClientController.ViewAll | INFO | |CLIENT| Viewing the list of all clients 

2021-08-06 06:22:45.2121 | Nix_Hotel.WEB.Controllers.ClientController.View | INFO | |CLIENT| Selecting client with id = 3 

2021-08-06 06:22:50.3267 | Nix_Hotel.WEB.Controllers.ClientController.ViewAll | INFO | |CLIENT| Selecting the list of all clients 

2021-08-06 06:24:52.6006 | Nix_Hotel.WEB.Controllers.ClientController.ViewAll | INFO | |CLIENT| Selecting the list of all clients 

2021-08-06 06:24:55.7905 | Nix_Hotel.WEB.Controllers.ClientController.ViewAll | INFO | |CLIENT| List of all clients was succesfully selected from DB 

2021-08-06 06:24:58.5214 | Nix_Hotel.WEB.Controllers.ClientController.View | INFO | |CLIENT| Selecting client with id = 1 

2021-08-06 06:24:58.8234 | Nix_Hotel.WEB.Controllers.ClientController.View | INFO | |CLIENT| Client with = 1 was succesfully selected from DB 

2021-08-06 06:25:01.5105 | Nix_Hotel.WEB.Controllers.ClientController.View | INFO | |CLIENT| Selecting client with id = 3 

2021-08-06 06:25:01.5145 | Nix_Hotel.WEB.Controllers.ClientController.View | INFO | |CLIENT| Client with = 3 not found 

2021-08-06 06:25:12.8542 | Nix_Hotel.WEB.Controllers.ClientController.View | INFO | |CLIENT| Selecting client with id = 1 

2021-08-06 06:25:12.8582 | Nix_Hotel.WEB.Controllers.ClientController.View | INFO | |CLIENT| Client with = 1 was succesfully selected from DB 

2021-08-06 06:25:34.5333 | Nix_Hotel.WEB.Controllers.ClientController.View | INFO | |CLIENT| Selecting client with id = 1 

2021-08-06 06:25:38.5086 | Nix_Hotel.WEB.Controllers.ClientController.View | INFO | |CLIENT| Client with = 1 was succesfully selected from DB 

2021-08-06 06:25:38.5636 | Nix_Hotel.WEB.Controllers.ClientController.ViewAll | INFO | |CLIENT| Selecting the list of all clients 

2021-08-06 06:25:38.5896 | Nix_Hotel.WEB.Controllers.ClientController.ViewAll | INFO | |CLIENT| List of all clients was succesfully selected from DB 

2021-08-06 06:25:39.9373 | Nix_Hotel.WEB.Controllers.ClientController.View | INFO | |CLIENT| Selecting client with id = 1 

2021-08-06 06:25:39.9373 | Nix_Hotel.WEB.Controllers.ClientController.View | INFO | |CLIENT| Client with = 1 was succesfully selected from DB 

2021-08-06 06:25:42.8323 | Nix_Hotel.WEB.Controllers.ClientController.View | INFO | |CLIENT| Selecting client with id = 3 

2021-08-06 06:25:42.8323 | Nix_Hotel.WEB.Controllers.ClientController.View | INFO | |CLIENT| Client with = 3 not found 

2021-08-06 06:25:48.7690 | Nix_Hotel.WEB.Controllers.ClientController.View | INFO | |CLIENT| Selecting client with id = 1 

2021-08-06 06:25:48.7690 | Nix_Hotel.WEB.Controllers.ClientController.View | INFO | |CLIENT| Client with = 1 was succesfully selected from DB 

2021-08-06 14:48:37.3823 | Nix_Hotel.WEB.Controllers.ClientController.View | INFO | |CLIENT| Selecting client with id = 1 

2021-08-06 14:48:41.8500 | Nix_Hotel.WEB.Controllers.ClientController.View | INFO | |CLIENT| Client with id = 1 was succesfully selected from DB 

2021-08-06 14:57:01.8377 | Nix_Hotel.WEB.Controllers.ClientController.View | INFO | |CLIENT| Selecting client with id = 1 

2021-08-06 14:57:05.1603 | Nix_Hotel.WEB.Controllers.ClientController.View | INFO | |CLIENT| Client with id = 1 was succesfully selected from DB 

2021-08-06 15:51:09.3945 | Nix_Hotel.WEB.Controllers.ClientController.ViewAll | INFO | |CLIENT| Selecting the list of all clients 

2021-08-06 15:51:09.7334 | Nix_Hotel.WEB.Controllers.ClientController.ViewAll | INFO | |CLIENT| List of all clients was succesfully selected from DB 

2021-08-06 15:51:18.6717 | Nix_Hotel.WEB.Controllers.RoomController.ViewAll | INFO | |ROOM| Selecting the list of all rooms 

2021-08-06 15:51:18.7057 | Nix_Hotel.WEB.Controllers.RoomController.ViewAll | INFO | |ROOM| List of all rooms was succesfully selected from DB 

2021-08-06 15:52:25.8949 | Nix_Hotel.WEB.Controllers.RoomController.FreeRooms | INFO | |ROOM| Trying to find free rooms 

2021-08-06 15:52:29.0439 | Nix_Hotel.WEB.Controllers.RoomController.FreeRooms | INFO | |ROOM| Free rooms found 

2021-08-06 15:53:05.3284 | Nix_Hotel.WEB.Controllers.RoomController.FreeRooms | INFO | |ROOM| Trying to find free rooms 

2021-08-06 15:53:05.3284 | Nix_Hotel.WEB.Controllers.RoomController.FreeRooms | INFO | |ROOM| Free rooms found 

2021-08-06 15:53:24.2308 | Nix_Hotel.WEB.Controllers.AdminController.Logout | INFO | |LOGIN| Logged out 

2021-08-06 15:53:34.7802 | Nix_Hotel.WEB.Controllers.RoomController.FreeRooms | INFO | |ROOM| Trying to find free rooms 

2021-08-06 15:53:34.7802 | Nix_Hotel.WEB.Controllers.RoomController.FreeRooms | INFO | |ROOM| Free rooms found 

2021-08-06 15:53:47.9838 | Nix_Hotel.WEB.Controllers.RoomController.FreeRooms | INFO | |ROOM| Trying to find free rooms 

2021-08-06 15:53:47.9838 | Nix_Hotel.WEB.Controllers.RoomController.FreeRooms | INFO | |ROOM| Free rooms found 

2021-08-06 15:54:28.0046 | Nix_Hotel.WEB.Controllers.RoomController.FreeRooms | INFO | |ROOM| Trying to find free rooms 

2021-08-06 15:54:31.1126 | Nix_Hotel.WEB.Controllers.RoomController.FreeRooms | INFO | |ROOM| Free rooms found 

2021-08-06 15:56:21.3812 | Nix_Hotel.WEB.Controllers.AdminController.Login | INFO | |LOGIN| Trying to Log In as administrator with name HotelAdmin  

2021-08-06 15:56:23.3622 | Nix_Hotel.WEB.Controllers.AdminController.Login | INFO | |LOGIN| Logged in succesfully as HotelAdmin  

2021-08-06 17:02:25.1233 | Nix_Hotel.WEB.Controllers.RoomController.ViewAll | INFO | |ROOM| Selecting the list of all rooms 

2021-08-06 17:02:28.3155 | Nix_Hotel.WEB.Controllers.RoomController.ViewAll | INFO | |ROOM| List of all rooms was succesfully selected from DB 

2021-08-06 17:02:32.6133 | Nix_Hotel.WEB.Controllers.RoomController.View | INFO | |ROOM| Selecting room with id = 1 

2021-08-06 17:02:32.7932 | Nix_Hotel.WEB.Controllers.RoomController.View | INFO | |ROOM| Room with id = 1 was succesfully selected from DB 

2021-08-06 17:02:35.7136 | Nix_Hotel.WEB.Controllers.RoomController.ViewAll | INFO | |ROOM| Selecting the list of all rooms 

2021-08-06 17:02:35.7256 | Nix_Hotel.WEB.Controllers.RoomController.ViewAll | INFO | |ROOM| List of all rooms was succesfully selected from DB 

2021-08-06 17:02:37.0407 | Nix_Hotel.WEB.Controllers.RoomController.View | INFO | |ROOM| Selecting room with id = 2 

2021-08-06 17:02:37.0477 | Nix_Hotel.WEB.Controllers.RoomController.View | INFO | |ROOM| Room with id = 2 was succesfully selected from DB 

2021-08-06 17:02:38.0835 | Nix_Hotel.WEB.Controllers.RoomController.ViewAll | INFO | |ROOM| Selecting the list of all rooms 

2021-08-06 17:02:38.0945 | Nix_Hotel.WEB.Controllers.RoomController.ViewAll | INFO | |ROOM| List of all rooms was succesfully selected from DB 

2021-08-06 17:02:38.9855 | Nix_Hotel.WEB.Controllers.RoomController.View | INFO | |ROOM| Selecting room with id = 3 

